type,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,url,poll_id,question_id,createddate
polls-plus,South Dakota,8/24/16,8/30/16,Google Consumer Surveys,B,84,lv,0.0028548,27.93,38.56,7.03,,35.79211,45.98224,3.335842,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45531,70916,9/9/16
polls-plus,Nevada,8/19/16,9/8/16,Ipsos,A-,273,lv,0.0028522,43.35,40.55,,,43.09922,39.56077,,,http://www.reuters.com/statesofthenation/,45666,71235,9/10/16
polls-plus,Arizona,5/13/16,5/15/16,Public Policy Polling,B+,896,v,0.0028429,38,40,6,,40.4808,42.8263,3.456643,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,44079,65952,5/18/16
polls-plus,U.S.,8/26/16,8/30/16,Ipsos,A-,1360,lv,0.002838,38.1,39.1,6.7,,40.71804,40.98385,3.999836,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45277,69639,9/2/16
polls-plus,Oklahoma,8/19/16,9/8/16,Ipsos,A-,313,lv,0.0028355,33.33,52.43,,,32.68443,51.08498,,,http://www.reuters.com/statesofthenation/,45673,71242,9/10/16
polls-plus,Wisconsin,3/28/16,3/30/16,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1602,lv,0.0028333,49,35,,,48.20583,34.60161,,,https://fnn.app.box.com/s/sgnjwngqy9an66atgcy9mzusetzwlifc,36676,50418,3/31/16
polls-plus,U.S.,6/7/16,7/5/16,Pew Research Center,B+,3834,rv,0.0028309,51,45,,,51.16326,45.95041,,,http://www.people-press.org/files/2016/08/08-03-2016-Campaign-convos-release.pdf,45925,71772,9/21/16
polls-plus,U.S.,8/29/16,9/2/16,Ipsos,A-,1132,lv,0.0028186,39.6,38.5,8.4,,42.22167,40.29166,5.688722,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45394,70635,9/6/16
polls-plus,U.S.,9/14/16,9/20/16,Google Consumer Surveys,B,20864,lv,0.002801,35.61,34.63,7.9,,43.05349,41.19719,4.668053,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45918,71765,9/21/16
polls-plus,Maryland,8/12/16,9/1/16,Ipsos,A-,526,lv,0.0027968,52.18,32.11,,,52.28693,32.1031,,,http://www.reuters.com/statesofthenation,45295,69676,9/4/16
polls-plus,Kentucky,9/7/16,9/13/16,Google Consumer Surveys,B,368,lv,0.0027941,32.16,43.82,5.67,,39.71623,50.58967,2.207449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45759,71443,9/14/16
polls-plus,Maryland,8/26/16,9/8/16,Ipsos,A-,364,lv,0.0027762,53.93,29.58,,,54.30032,29.10372,,,http://www.reuters.com/statesofthenation/,45658,71227,9/10/16
polls-plus,Pennsylvania,7/29/16,7/31/16,Public Policy Polling,B+,1505,lv,0.0027736,45,42,4,,46.6028,43.90714,2.165427,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_PA_80116.pdf,44720,68385,8/1/16
polls-plus,U.S.,10/13/16,10/14/16,Google Consumer Surveys,B,924,lv,0.0027638,33.6,30.9,6.6,,38.88245,37.67015,4.879777,,https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Oct182016.pdf,47013,73508,10/18/16
polls-plus,U.S.,8/28/16,9/1/16,Ipsos,A-,1172,lv,0.0027537,39.1,37.6,7.7,,41.72408,39.4243,4.988299,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45275,69637,9/2/16
polls-plus,Delaware,8/24/16,8/30/16,Google Consumer Surveys,B,99,lv,0.0027496,34.1,31.69,9.61,,41.78947,38.98709,5.915841,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45497,70815,9/9/16
polls-plus,Tennessee,8/26/16,9/8/16,Ipsos,A-,413,lv,0.0027483,27.91,48.53,,,28.21351,47.97795,,,http://www.reuters.com/statesofthenation/,45677,71246,9/10/16
polls-plus,North Carolina,5/21/16,5/23/16,"National Research, Inc.",B+,600,lv,0.0027466,36,39,8,,38.78478,41.69019,5.248374,,https://www.nccivitas.org/2016/trump-leads-hilary-in-new-civitas-poll/,44150,66063,5/27/16
polls-plus,U.S.,8/25/16,8/29/16,Ipsos,A-,1400,lv,0.0027462,39.5,38,5.7,,42.10358,39.91194,2.996813,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45151,69412,8/30/16
polls-plus,Arkansas,8/31/16,9/6/16,Google Consumer Surveys,B,189,lv,0.0027439,33.78,40.6,8.1,,41.42862,47.65195,4.439285,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45442,70760,9/9/16
polls-plus,Colorado,8/26/16,9/8/16,Ipsos,A-,417,lv,0.0027405,40.5,43.29,,,39.79605,41.6452,,,http://www.reuters.com/statesofthenation/,45645,71214,9/10/16
polls-plus,U.S.,9/1/16,9/2/16,Morning Consult,,2001,rv,0.0027354,38,36,9,,43.36968,41.30776,3.802371,,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,45328,70686,9/6/16
polls-plus,Rhode Island,8/17/16,8/23/16,Google Consumer Surveys,B,73,lv,0.002722,44.22,18.48,11.35,,52.31779,26.62958,7.672761,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45579,70964,9/9/16
polls-plus,U.S.,9/29/16,10/5/16,USC Dornsife/LA Times,,2489,lv,0.0027199,42.58,46.6,,,44.21922,43.41674,,,http://latimes.com/politics/,46521,72732,10/6/16
polls-plus,Virginia,9/14/16,9/20/16,Google Consumer Surveys,B,616,lv,0.0027147,36.26,36.84,7.64,,43.61772,43.36365,4.408052,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45993,71880,9/22/16
polls-plus,Connecticut,9/7/16,9/13/16,Google Consumer Surveys,B,304,lv,0.0027061,41.81,26.44,8.75,,49.65028,33.36945,5.287449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45748,71432,9/14/16
polls-plus,Colorado,9/14/16,9/20/16,Google Consumer Surveys,B,550,lv,0.0027046,40.6,28.49,9.36,,48.19548,35.13438,6.128052,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45952,71839,9/22/16
polls-plus,Mississippi,8/12/16,9/1/16,Ipsos,A-,150,lv,0.0026944,30.33,58.52,,,30.56561,58.70984,,,http://www.reuters.com/statesofthenation,45299,69680,9/4/16
polls-plus,Illinois,3/4/16,3/10/16,Marist College,A,1968,rv,0.0026914,57,32,,,54.97678,33.79718,,,http://maristpoll.marist.edu/313-trump-ahead-in-fl-il-kasich-up-in-oh-clinton-ahead-in-fl-il-and-oh/,36597,65515,5/5/16
polls-plus,Arizona,9/9/16,9/22/16,Ipsos,A-,428,lv,0.0026898,41.65,47.86,,,41.47218,46.48544,,,http://www.reuters.com/statesofthenation/,46057,72049,9/26/16
polls-plus,Ohio,9/21/16,9/26/16,Google Consumer Surveys,B,737,lv,0.0026755,31.94,35.09,8.69,,39.07351,41.52172,5.737415,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,46269,72328,9/28/16
polls-plus,Minnesota,4/25/16,4/27/16,"Mason-Dixon Polling & Research, Inc.",B+,800,rv,0.0026683,48,35,,,47.02357,36.48016,,,http://stmedia.startribune.com/documents/Minnesota+Poll+presidential+race.pdf,44177,66114,6/2/16
polls-plus,Wyoming,8/17/16,8/23/16,Google Consumer Surveys,B,78,lv,0.0026668,26.27,41.75,11.65,,33.91552,49.52964,7.97276,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45590,70975,9/9/16
polls-plus,Texas,9/21/16,9/26/16,Google Consumer Surveys,B,1003,lv,0.0026507,29.93,42.1,7.62,,37.001,48.49937,4.667416,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,46277,72336,9/28/16
polls-plus,U.S.,8/27/16,8/31/16,Ipsos,A-,1196,lv,0.0026503,38.6,38.9,7.1,,41.22446,40.75305,4.399111,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45276,69638,9/2/16
polls-plus,U.S.,9/18/16,9/24/16,CVOTER International,C+,1022,lv,0.0026454,48.52,46.17,,,47.41687,41.836,,,http://projects.fivethirtyeight.com/polls/20160925_National_1.pdf,46052,72034,9/26/16
polls-plus,U.S.,9/17/16,9/23/16,CVOTER International,C+,1091,lv,0.0026331,48.41,46.72,,,47.32976,42.39485,,,http://projects.fivethirtyeight.com/polls/20160925_National_1.pdf,46051,72033,9/26/16
polls-plus,South Carolina,9/7/16,9/13/16,Google Consumer Surveys,B,374,lv,0.0026145,30.53,39.13,7.79,,37.84939,45.76645,4.327449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45782,71466,9/14/16
polls-plus,Maryland,9/7/16,9/13/16,Google Consumer Surveys,B,454,lv,0.0026078,43.81,25.98,9.49,,51.32811,32.72823,6.027449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45762,71446,9/14/16
polls-plus,Ohio,9/16/16,9/22/16,Ipsos,A-,407,lv,0.0026073,46.34,42.88,,,46.32416,41.66815,,,http://www.reuters.com/statesofthenation/,46087,72079,9/26/16
polls-plus,Minnesota,9/14/16,9/20/16,Google Consumer Surveys,B,579,lv,0.0025921,37.2,26.85,8.74,,44.76077,33.47675,5.508052,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45971,71858,9/22/16
polls-plus,New York,9/21/16,9/26/16,Google Consumer Surveys,B,931,lv,0.0025696,42.53,29.4,5.1,,49.69397,35.84749,2.147415,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,46268,72327,9/28/16
polls-plus,U.S.,9/6/16,9/7/16,Rasmussen Reports/Pulse Opinion Research,C+,1000,lv,0.0025648,43,39,9,,46.39185,40.56629,5.977975,,http://m.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,45426,70733,9/8/16
polls-plus,Michigan,9/6/16,9/7/16,Mitchell Research & Communications,D,940,lv,0.0025629,45,39,7,,46.60048,39.90531,4.089577,,http://www.realclearpolitics.com/docs/2016/FOX_2_Detroit-Mitchell_Poll_of_MI_Press_Clinton_v_Trump_9-9-16.pdf,45711,71319,9/12/16
polls-plus,U.S.,5/16/16,5/19/16,ABC News/Washington Post,A+,829,rv,0.0025589,44,46,,,43.57502,46.94873,,,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/05/22/National-Politics/Polling/release_426.xml?uuid=v4d0jh_REeaCwqfcsxMofQ,44093,65978,5/22/16
polls-plus,New Hampshire,5/12/16,5/15/16,MassINC Polling Group,A-,501,lv,0.0025553,44,42,,,43.21238,41.82544,,,http://www.wbur.org/2016/05/18/wbur-poll-clinton-trump-new-hampshire,44078,65955,5/18/16
polls-plus,Louisiana,8/19/16,9/8/16,Ipsos,A-,342,lv,0.0025463,33.24,59.91,,,33.64244,59.66944,,,http://www.reuters.com/statesofthenation/,45656,71225,9/10/16
polls-plus,Nebraska,8/31/16,9/6/16,Google Consumer Surveys,B,248,lv,0.0025389,27.38,40.91,9.21,,35.17417,48.05605,5.549285,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45468,70786,9/9/16
polls-plus,Minnesota,8/26/16,9/8/16,Ipsos,A-,517,lv,0.002536,41.56,31.31,,,41.5028,30.32516,,,http://www.reuters.com/statesofthenation/,45661,71230,9/10/16
polls-plus,Illinois,9/2/16,9/8/16,Ipsos,A-,460,lv,0.0025274,51.65,33.86,,,51.91513,33.17673,,,http://www.reuters.com/statesofthenation/,45651,71220,9/10/16
polls-plus,U.S.,8/24/16,8/28/16,Ipsos,A-,1356,lv,0.0025016,38.9,38.3,6.3,,41.49263,40.2379,3.59542,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45152,69413,8/30/16
polls-plus,U.S.,8/6/16,8/9/16,YouGov,B,1026,rv,0.0024882,42,36,9,,45.19844,40.27752,6.945167,,https://today.yougov.com/news/2016/08/09/yougoveconomist-poll-august-6-9-2016/,44809,68698,8/12/16
polls-plus,New York,9/2/16,9/8/16,Ipsos,A-,631,lv,0.0024782,51.83,30.11,,,52.70925,30.01597,,,http://www.reuters.com/statesofthenation/,45670,71239,9/10/16
polls-plus,Alabama,8/19/16,9/8/16,Ipsos,A-,367,lv,0.0024728,42.33,50.6,,,42.58934,50.23583,,,http://www.reuters.com/statesofthenation/,45641,71210,9/10/16
polls-plus,U.S.,9/16/16,9/22/16,CVOTER International,C+,1098,lv,0.0024695,49.03,46.05,,,47.94642,41.74593,,,http://projects.fivethirtyeight.com/polls/20160925_National_1.pdf,46050,72032,9/26/16
polls-plus,Kentucky,8/19/16,9/8/16,Ipsos,A-,409,lv,0.002469,37.01,53.27,,,36.96303,52.50654,,,http://www.reuters.com/statesofthenation/,45655,71224,9/10/16
polls-plus,U.S.,5/31/16,6/5/16,IBD/TIPP,A-,828,rv,0.002469,45,40,,,48.71357,42.02543,,,http://www.investors.com/wp-content/uploads/2016/06/ibdtipp-Tables_June2016_Posting-1.pdf,44195,66175,6/6/16
polls-plus,Washington,9/14/16,9/20/16,Google Consumer Surveys,B,486,lv,0.00246,36.97,28.2,10.83,,44.6316,34.87794,7.598053,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45995,71882,9/22/16
polls-plus,Missouri,9/14/16,9/20/16,Google Consumer Surveys,B,588,lv,0.0024578,33.26,31.81,10.02,,40.62881,38.33927,6.788053,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45972,71859,9/22/16
polls-plus,Tennessee,9/7/16,9/13/16,Google Consumer Surveys,B,534,lv,0.0024503,23.92,49.08,6.15,,31.46328,55.84238,2.687449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45784,71468,9/14/16
polls-plus,Vermont,8/17/16,8/23/16,Google Consumer Surveys,B,87,lv,0.0024487,42.83,11.42,10.43,,50.76061,19.43283,6.752761,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45586,70971,9/9/16
polls-plus,Alabama,9/7/16,9/13/16,Google Consumer Surveys,B,425,lv,0.0024451,19.02,56.78,4.95,,26.28074,63.38345,1.487449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45743,71427,9/14/16
polls-plus,Oklahoma,8/31/16,9/6/16,Google Consumer Surveys,B,244,lv,0.0024328,29.34,44.56,10.37,,36.94323,51.58261,6.709285,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45475,70793,9/9/16
polls-plus,Iowa,9/7/16,9/13/16,Google Consumer Surveys,B,411,lv,0.0024312,30.38,35.27,8.7,,38.1622,42.16678,5.237449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45754,71438,9/14/16
polls-plus,North Carolina,9/14/16,9/20/16,Google Consumer Surveys,B,708,lv,0.0024292,32.31,39.54,8.51,,39.5663,46.01214,5.278053,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45975,71862,9/22/16
polls-plus,Arizona,9/14/16,9/20/16,Google Consumer Surveys,B,572,lv,0.0024264,37.46,32.1,9.91,,44.96022,38.696,6.678052,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45950,71837,9/22/16
polls-plus,Michigan,9/14/16,9/20/16,Google Consumer Surveys,B,613,lv,0.0024258,34.85,33.58,7.93,,42.31796,40.15963,4.698052,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45970,71857,9/22/16
polls-plus,Illinois,9/21/16,9/26/16,Google Consumer Surveys,B,933,lv,0.002406,36.79,30.29,6.21,,43.90076,36.70995,3.257416,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,46248,72307,9/28/16
polls-plus,Maryland,3/30/16,4/3/16,ABC News/Washington Post,A+,752,rv,0.002397,63,28,,,61.1434,28.85847,,,https://www.washingtonpost.com/local/md-politics/poll-clinton-trump-lead-in-maryland/2016/04/07/f21637c4-fb3b-11e5-9140-e61d062438bb_story.html,36701,65642,5/5/16
polls-plus,New Mexico,8/31/16,9/6/16,Google Consumer Surveys,B,215,lv,0.0023883,27.25,29.96,18.44,,35.08248,37.13081,14.77929,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45471,70789,9/9/16
polls-plus,U.S.,9/28/16,10/4/16,USC Dornsife/LA Times,,2369,lv,0.0023802,42.93,46.53,,,44.64429,43.29663,,,http://latimes.com/politics/,46457,72655,10/5/16
polls-plus,Florida,9/21/16,9/26/16,Google Consumer Surveys,B,956,lv,0.0023786,34.29,41.33,6.38,,41.40711,47.75324,3.427416,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,46243,72302,9/28/16
polls-plus,U.S.,8/9/16,8/9/16,Gravis Marketing,B-,2832,lv,0.0023509,42,37,9,,42.85292,37.20234,7.071113,,http://www.breitbart.com/2016-presidential-race/2016/08/14/breitbartgravis-poll-hillary-clinton-leads-donald-trump-42-to-37/,44850,68737,8/14/16
polls-plus,U.S.,8/23/16,8/27/16,Ipsos,A-,1349,lv,0.0023424,38.5,38.9,6.3,,41.08326,40.8699,3.589852,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45153,69414,8/30/16
polls-plus,Alaska,8/17/16,8/23/16,Google Consumer Surveys,B,87,lv,0.00234,29.51,37.98,13.84,,37.2446,45.83251,10.16276,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45541,70926,9/9/16
polls-plus,Massachusetts,8/26/16,9/8/16,Ipsos,A-,485,lv,0.0023309,53.47,29.86,,,54.01952,29.3299,,,http://www.reuters.com/statesofthenation/,45659,71228,9/10/16
polls-plus,Michigan,3/23/16,3/24/16,SurveyUSA,A,904,lv,0.0023278,49,38,,,45.54707,35.86406,,,http://www.surveyusa.com/client/PollReport.aspx?g=47c9cb86-78f1-4886-a8b3-df6ef090b5b8,36658,50372,3/28/16
polls-plus,South Carolina,8/12/16,9/1/16,Ipsos,A-,299,lv,0.002318,45.14,48.14,,,45.19809,48.12587,,,http://www.reuters.com/statesofthenation,45311,69692,9/4/16
polls-plus,Nevada,7/22/16,7/24/16,Rasmussen Reports/Pulse Opinion Research,C+,750,lv,0.0023095,38,43,8,,43.22582,43.62345,5.277239,,https://docs.google.com/spreadsheets/d/1r40YV2vK7ceUDi19oZKuMKZTWWGRcN6kgiXqWIQFyss/edit,44681,68233,7/25/16
polls-plus,Hawaii,8/17/16,8/23/16,Google Consumer Surveys,B,87,lv,0.0023082,42.98,22.49,15.04,,50.82636,30.43392,11.36276,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45551,70936,9/9/16
polls-plus,New York,4/15/16,4/17/16,Emerson College,B,1047,lv,0.0023044,55,36,,,54.34602,34.66827,,,http://media.wix.com/ugd/3bebb2_9be49212aa1f45efb06ed31243e26ad1.pdf,42180,60258,4/20/16
polls-plus,Idaho,8/12/16,9/1/16,Ipsos,A-,126,lv,0.0023017,27.92,58.08,,,26.56763,56.56777,,,http://www.reuters.com/statesofthenation,45287,69668,9/4/16
polls-plus,Colorado,8/12/16,9/1/16,Ipsos,A-,495,lv,0.0022964,44.57,38.55,,,43.59713,37.40783,,,http://www.reuters.com/statesofthenation,45283,69664,9/4/16
polls-plus,California,9/9/16,9/15/16,Ipsos,A-,577,lv,0.0022914,62.5,24.22,,,63.00556,23.56268,,,http://www.reuters.com/statesofthenation/,45835,71599,9/16/16
polls-plus,U.S.,6/5/16,6/8/16,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1004,rv,0.0022804,39,36,12,,44.01495,40.59073,8.129566,,http://www.foxnews.com/politics/interactive/2016/06/09/fox-news-poll-national-releas-6-16/,44207,66403,6/9/16
polls-plus,Michigan,5/24/16,5/26/16,"Glengariff Group, Inc.",B,600,lv,0.0022669,36.8,32.7,11.5,,40.68456,36.37408,7.435546,,http://www.detroitnews.com/story/news/politics/2016/05/31/poll-clinton-sanders-lead-trump-michigan-match-ups/85223072/,44170,66129,6/2/16
polls-plus,Georgia,8/26/16,9/8/16,Ipsos,A-,529,lv,0.0022634,37.89,48.39,,,37.54788,47.27544,,,http://www.reuters.com/statesofthenation/,45649,71218,9/10/16
polls-plus,U.S.,9/15/16,9/21/16,CVOTER International,C+,1073,lv,0.002251,49.2,45.68,,,48.11647,41.39808,,,http://projects.fivethirtyeight.com/polls/20160925_National_1.pdf,46049,72031,9/26/16
polls-plus,Indiana,9/14/16,9/20/16,Google Consumer Surveys,B,607,lv,0.0022501,31.89,32.25,9.42,,39.22894,38.76411,6.188053,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45963,71850,9/22/16
polls-plus,Missouri,8/5/16,8/6/16,Remington,,1280,lv,0.0022392,42,44,5,,43.72212,44.9044,2.906594,,https://www.stlmag.com/news/in-missouri-voter-polls-president-governor/,44797,68595,8/8/16
polls-plus,Pennsylvania,9/9/16,9/15/16,Ipsos,A-,423,lv,0.0022283,46.11,43.81,,,46.27684,42.88163,,,http://www.reuters.com/statesofthenation/,45866,71630,9/16/16
polls-plus,U.S.,6/28/16,6/29/16,Zogby Interactive/JZ Analytics,C-,875,lv,0.0022246,39,37,5,,42.55647,41.76895,3.129408,,http://www.zogbyanalytics.com/news/753-showdown-between-clinton-and-trump-too-close-to-call-trump-leads-clinton-big-among-independents,44486,67625,6/30/16
polls-plus,West Virginia,8/24/16,8/30/16,Google Consumer Surveys,B,88,lv,0.002223,19.6,48.64,11.18,,27.40226,56.01885,7.485842,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45539,70924,9/9/16
polls-plus,California,9/21/16,9/26/16,Google Consumer Surveys,B,1311,lv,0.0022081,45.47,30.35,6.42,,52.63771,36.79943,3.467416,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,46238,72297,9/28/16
polls-plus,California,5/4/16,5/16/16,YouGov,B,1196,lv,0.0022039,45,33,4,,47.22523,34.56586,2.374104,,http://www.hoover.org/sites/default/files/golden_state_poll_may_2016_results_tables_final.pdf,44157,66081,5/31/16
polls-plus,U.S.,8/22/16,8/26/16,Ipsos,A-,1337,lv,0.0021865,38.7,37.4,6,,41.27236,39.40387,3.289793,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,45154,69415,8/30/16
polls-plus,Maine,8/17/16,8/23/16,Google Consumer Surveys,B,105,lv,0.0021851,35.99,32.25,12.7,,43.90614,40.251,9.02276,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45561,70946,9/9/16
polls-plus,New Hampshire,8/12/16,9/1/16,Ipsos,A-,131,lv,0.0021754,43.58,44.52,,,42.92935,43.62805,,,http://www.reuters.com/statesofthenation,45303,69684,9/4/16
polls-plus,Massachusetts,9/7/16,9/13/16,Google Consumer Surveys,B,481,lv,0.0021751,42.9,28.07,8.32,,51.07309,35.18667,4.857449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45761,71445,9/14/16
polls-plus,Mississippi,8/31/16,9/6/16,Google Consumer Surveys,B,194,lv,0.0021592,26.97,53.12,5.61,,34.25222,59.93511,1.949285,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45464,70782,9/9/16
polls-plus,Nevada,8/31/16,9/6/16,Google Consumer Surveys,B,220,lv,0.0021524,34.75,33.81,9.47,,42.48202,40.91587,5.809285,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45472,70790,9/9/16
polls-plus,Oregon,9/7/16,9/13/16,Google Consumer Surveys,B,381,lv,0.0021476,42.32,29.77,7.26,,50.13852,36.68721,3.797449,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45779,71463,9/14/16
polls-plus,U.S.,5/24/16,5/30/16,Quinnipiac University,A-,1561,rv,0.0021292,40,38,5,,44.27778,41.48988,0.950101,,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,44167,66091,6/1/16
polls-plus,U.S.,9/13/16,9/19/16,CVOTER International,C+,1160,lv,0.0021199,48.5,46.55,,,47.42044,42.27944,,,http://projects.fivethirtyeight.com/polls/20160925_National_1.pdf,46047,72029,9/26/16
polls-plus,Kansas,8/31/16,9/6/16,Google Consumer Surveys,B,297,lv,0.0021161,36.4,33.94,12.2,,44.22614,41.1067,8.539286,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45455,70773,9/9/16
polls-plus,U.S.,9/27/16,10/3/16,USC Dornsife/LA Times,,2275,lv,0.0021089,42.69,46.61,,,44.48092,43.33036,,,http://latimes.com/politics/,46443,72591,10/4/16
polls-plus,Arkansas,8/12/16,9/1/16,Ipsos,A-,243,lv,0.0021075,42.2,47.62,,,42.17056,47.47093,,,http://www.reuters.com/statesofthenation,45281,69662,9/4/16
polls-plus,U.S.,9/14/16,9/20/16,CVOTER International,C+,1075,lv,0.0021057,48.11,47.15,,,47.02634,42.87743,,,http://projects.fivethirtyeight.com/polls/20160925_National_1.pdf,46048,72030,9/26/16
polls-plus,New Jersey,9/14/16,9/20/16,Google Consumer Surveys,B,655,lv,0.0020988,35.6,36.19,5.48,,43.11707,42.79456,2.248052,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,45979,71866,9/22/16
polls-plus,Louisiana,8/31/16,9/6/16,Google Consumer Surveys,B,273,lv,0.0020678,23.88,50.15,5.91,,31.29687,57.05215,2.249285,,https://drive.google.com/drive/u/0/folders/0B29GVb5ISrT0VzFQWjFSWGcyeVE,45457,70775,9/9/16
polls-plus,Mississippi,3/28/16,3/30/16,"Mason-Dixon Polling & Research, Inc.",B+,625,rv,0.0020663,43,46,,,41.94003,47.82026,,,http://big.assets.huffingtonpost.com/MS316Poll.pdf,36696,50466,4/5/16
polls-plus,Texas,9/2/16,9/8/16,Ipsos,A-,405,lv,0.0020635,30.91,48.29,,,30.85196,47.30215,,,http://www.reuters.com/statesofthenation/,45678,71247,9/10/16
